Cluster_ID,Longitude,Latitude,Number_Of_Points
1,-73.95464805882354,40.76558005882353,17
2,-73.96244155555556,40.77294133333333,9
3,-73.99133859602648,40.749901225165566,151
4,-74.00967849999999,40.712593999999996,6
5,-73.94988614285714,40.772088000000004,7
6,-73.973646125,40.78447025,8
7,-73.98127699999999,40.73717114285714,7
8,-73.96140685714285,40.77140385714286,7
9,-73.99420544680851,40.75109529787233,94
10,-73.99073674999998,40.750825999999996,12
11,-73.94623442857142,40.772869,7
12,-73.9875565,40.74146433333333,6
13,-73.7834331388889,40.64862744444444,36
14,-73.991113375,40.733254875,8
15,-73.96231241025642,40.77900902564102,39
16,-73.98141139024389,40.78091265853658,41
17,-73.95811399999998,40.72504299999999,7
18,-73.97831289999999,40.766514799999996,10
19,-73.99495458823529,40.73991805882353,17
20,-73.99472793333334,40.75032213333334,15
21,-73.97402014285714,40.75730014285715,7
22,-73.9804895,40.73050708333333,12
23,-73.99351325,40.74976081249999,32
24,-73.95840655555554,40.768611444444446,9
25,-73.95894349999999,40.815024333333334,6
26,-73.97408422222223,40.78380977777778,9
27,-73.98961639999999,40.75657550000001,10
28,-73.830310125,40.759446937499995,16
29,-74.01512625,40.71427237499999,8
30,-73.98219679999998,40.76846046666666,15
31,-73.996454875,40.75312974999999,8
32,-73.99065355555554,40.75606011111111,9
33,-73.97471617777776,40.741944733333334,45
34,-73.9780476222222,40.752322799999995,45
35,-74.00120912499999,40.71642537499999,8
36,-74.00459866666667,40.74189308333333,12
37,-73.9716735,40.76320930000001,10
38,-73.99045989999999,40.7558908,10
39,-73.95715733333333,40.7744115,6
40,-73.986318625,40.75877525,8
41,-73.8745155357143,40.774091,28
42,-74.005575,40.75090466666666,15
43,-73.96162366666665,40.779836,9
44,-73.97773962500001,40.778771125,8
45,-73.95425133333333,40.76408958333334,12
46,-73.98396100000001,40.75492283333333,6
47,-73.99793442857143,40.740954428571435,7
48,-73.99335773333334,40.75238533333333,15
49,-73.9914,40.7387112,10
50,-73.96209458333333,40.776150375,24
51,-73.96784011111112,40.76258238888888,18
52,-73.98102725,40.7742595,8
53,-73.99986333333334,40.71811016666667,6
54,-74.01604277777777,40.71131622222222,9
55,-74.00619825,40.734307375,8
56,-73.97503212500001,40.765134625,8
