Number of points: 232050
NW:(40.700000 , -74.000000)
Partition   22000000 : [   4,   143]
Partition   43000000 : [   0,     0]
Partition   69000000 : [   0,     0]
Partition   86000000 : [   0,     2]
Partition   76000000 : [   0,     3]
Partition   99000000 : [   2,    39]
Partition  146000000 : [   0,     6]
Partition  197000000 : [   1,   274]
Partition  106000000 : [   3,    56]
Partition  202000000 : [   1,    19]
Partition  176000000 : [   0,    29]
Partition  121000000 : [   6,   426]
Partition  169000000 : [   0,     0]
Partition  179000000 : [   0,     2]
Partition  136000000 : [   0,     4]
Partition  116000000 : [   3,    89]
Partition   47000000 : [   0,     0]
Partition  170000000 : [   0,     1]
Partition   67000000 : [   0,     0]
Partition   27000000 : [   0,     1]
Partition   77000000 : [   0,     1]
Partition  200000000 : [   4,   212]
Partition   73000000 : [   1,    60]
Partition  107000000 : [   1,    26]
Partition   97000000 : [   1,    13]
Partition  126000000 : [   0,     9]
Partition  196000000 : [   2,   131]
Partition  117000000 : [   3,    77]
Partition  144000000 : [   3,    75]
Partition  137000000 : [   1,    10]
Partition   42000000 : [   2,    57]
Partition  157000000 : [   0,     2]
Partition  177000000 : [   0,     3]
Partition  167000000 : [   0,     1]
Partition  166000000 : [   2,    91]
Partition   81000000 : [   0,     3]
Partition  105000000 : [   1,    50]
Partition   58000000 : [   0,     2]
Partition   38000000 : [   0,     0]
Partition   48000000 : [   0,     1]
Partition   28000000 : [   0,     0]
Partition   85000000 : [   0,     1]
Partition  128000000 : [   2,    44]
Partition   98000000 : [   0,    33]
Partition  108000000 : [   0,    37]
Partition   78000000 : [   0,     1]
Partition   88000000 : [   0,     5]
Partition  118000000 : [   2,    45]
Partition   34000000 : [   0,    12]
Partition  195000000 : [   5,   103]
Partition  158000000 : [   0,     1]
Partition  185000000 : [   2,   156]
Partition   82000000 : [   0,     3]
Partition  188000000 : [   0,     0]
Partition  208000000 : [   2,    50]
Partition  178000000 : [   0,     1]
Partition  198000000 : [   0,     4]
Partition   29000000 : [   0,     0]
Partition  102000000 : [   0,     7]
Partition   59000000 : [   0,     0]
Partition   49000000 : [   0,     0]
Partition  120000000 : [   5,   401]
Partition   13000000 : [   0,     1]
Partition   89000000 : [   0,     7]
Partition   79000000 : [   0,     1]
Partition  146000000 : [   5,   443]
Partition  158000000 : [   0,    13]
Partition  149000000 : [   2,    28]
Partition  119000000 : [   1,    22]
Partition  129000000 : [   2,    27]
Partition  139000000 : [   1,    32]
Partition   51000000 : [   1,    30]
Partition  206000000 : [   2,    59]
Partition  115000000 : [   1,    37]
Partition  199000000 : [   0,     1]
Partition  189000000 : [   0,     0]
Partition  209000000 : [   0,     5]
Partition  197000000 : [   1,    66]
Partition  186000000 : [   3,   381]
Partition  207000000 : [   2,    75]
Partition  109000000 : [   1,    32]
Partition   55000000 : [   5,   495]
Partition  159000000 : [   0,     1]
Partition  186000000 : [   2,    88]
Partition  184000000 : [   2,   377]
Partition   33000000 : [   5,   417]
