Cluster_ID,Longitude,Latitude,Number_Of_Points
200,-74.004638,40.741867,30
200,-74.00467999999998,40.742086,30
200,-74.004543,40.741735,30
200,-74.004737,40.741951,30
200,-74.00459499999998,40.741918,30
200,-74.004593,40.741913,30
200,-74.004588,40.742112,30
200,-74.004672,40.741805,30
200,-74.004345,40.74191,30
200,-74.004624,40.741903,30
200,-74.004577,40.741915,30
200,-74.004395,40.741745,30
200,-74.00456,40.741879,30
200,-74.004582,40.741957,30
200,-74.004694,40.742001,30
200,-74.004557,40.741873,30
200,-74.004593,40.74197,30
200,-74.00475,40.741658,30
200,-74.00455499999998,40.74185,30
200,-74.00466,40.741671,30
200,-74.00446499999998,40.74224,30
200,-74.004427,40.741653,30
200,-74.004265,40.741728,30
200,-74.004333,40.741908,30
200,-74.00407699999998,40.742042,30
200,-74.00491499999998,40.741533,30
200,-74.004292,40.7423,30
200,-74.004242,40.742435,30
200,-74.004187,40.742345,30
200,-74.004361,40.742456,30
