Cluster_ID,Longitude,Latitude,Number_Of_Points
219,-73.958408,40.772852,22
219,-73.95827699999998,40.772922,22
219,-73.958157,40.772955,22
219,-73.95824,40.773007,22
219,-73.958303,40.772657,22
219,-73.958284,40.773156,22
219,-73.958031,40.772908,22
219,-73.95850799999998,40.772492,22
219,-73.95829999999998,40.772562,22
219,-73.958228,40.772513,22
219,-73.958397,40.77232,22
219,-73.95869999999998,40.772486,22
219,-73.958695,40.772491,22
219,-73.958599,40.77236,22
219,-73.95898099999998,40.772401,22
219,-73.95886299999998,40.772369,22
219,-73.95889699999998,40.772625,22
219,-73.95886299999998,40.772428,22
219,-73.958656,40.772155,22
219,-73.958822,40.772155,22
219,-73.95897999999998,40.772795,22
219,-73.958477,40.771982,22
