Cluster_ID,Longitude,Latitude,Number_Of_Points
49,-73.961398,40.771435,47
49,-73.96129999999998,40.771622,47
49,-73.961438,40.771393,47
49,-73.96142,40.771292,47
49,-73.961415,40.771377,47
49,-73.961392,40.771405,47
49,-73.961385,40.77122,47
49,-73.961387,40.77149,47
49,-73.961302,40.771587,47
49,-73.961298,40.771467,47
49,-73.96135599999998,40.771653,47
49,-73.961601,40.771324,47
49,-73.961158,40.771865,47
49,-73.961248,40.771808,47
49,-73.96136,40.771876,47
49,-73.96117599999998,40.771773,47
49,-73.96157499999998,40.77115,47
49,-73.961596,40.771123,47
49,-73.96168199999998,40.77114,47
49,-73.96097899999998,40.772069,47
49,-73.96089399999998,40.771906,47
49,-73.961062,40.771957,47
49,-73.961645,40.770943,47
49,-73.961759,40.770989,47
49,-73.96156899999998,40.770977,47
49,-73.961618,40.771023,47
49,-73.96163799999998,40.770993,47
49,-73.960847,40.772238,47
49,-73.96074799999998,40.772148,47
49,-73.960897,40.772234,47
49,-73.960817,40.7722,47
49,-73.96088799999998,40.772172,47
49,-73.961957,40.770869,47
49,-73.96087,40.772353,47
49,-73.960577,40.77233,47
49,-73.96084,40.77234,47
49,-73.96065199999998,40.772448,47
49,-73.960643,40.772501,47
49,-73.96065299999998,40.772563,47
49,-73.96047299999998,40.772435,47
49,-73.96047299999998,40.772735,47
49,-73.96030399999998,40.772966,47
49,-73.960378,40.77274,47
49,-73.96033799999998,40.772968,47
49,-73.960577,40.772925,47
49,-73.96030399999998,40.773105,47
49,-73.960167,40.772885,47
