Cluster_ID,Longitude,Latitude,Number_Of_Points
127,-73.99912399999998,40.75453,19
127,-73.99912399999998,40.75453,19
127,-73.99915799999998,40.754365,19
127,-73.999035,40.754658,19
127,-73.99896599999998,40.754475,19
127,-73.999087,40.75482,19
127,-73.999162,40.754465,19
127,-73.99889799999998,40.754483,19
127,-73.999317,40.754547,19
127,-73.998884,40.754491,19
127,-73.99925,40.7544,19
127,-73.999313,40.754353,19
127,-73.999058,40.754798,19
127,-73.99921899999998,40.75445,19
127,-73.999305,40.754505,19
127,-73.99936499999998,40.754256,19
127,-73.999128,40.75487,19
127,-73.999486,40.754291,19
127,-73.99935999999998,40.753968,19
