Cluster_ID,Longitude,Latitude,Number_Of_Points
223,-73.957148,40.774413,46
223,-73.957246,40.774406,46
223,-73.95716199999998,40.774135,46
223,-73.95729799999998,40.774572,46
223,-73.957193,40.77437,46
223,-73.95711699999998,40.774487,46
223,-73.957068,40.774637,46
223,-73.957289,40.774398,46
223,-73.957194,40.774244,46
223,-73.957092,40.77438,46
223,-73.957437,40.774316,46
223,-73.957515,40.774337,46
223,-73.957453,40.774245,46
223,-73.956942,40.77405,46
223,-73.957189,40.774108,46
223,-73.95709999999998,40.774093,46
223,-73.957171,40.774107,46
223,-73.95699999999998,40.774027,46
223,-73.95684699999998,40.774705,46
223,-73.95702699999998,40.77484,46
223,-73.95757999999998,40.774458,46
223,-73.95773699999998,40.774524,46
223,-73.95677999999998,40.774225,46
223,-73.956738,40.774748,46
223,-73.95676799999998,40.774792,46
223,-73.95681,40.774803,46
223,-73.957965,40.774337,46
223,-73.957882,40.774418,46
223,-73.95789499999998,40.774362,46
223,-73.956745,40.774995,46
223,-73.956694,40.774976,46
223,-73.95667299999998,40.77501,46
223,-73.956675,40.774992,46
223,-73.958115,40.774553,46
223,-73.957927,40.774212,46
223,-73.956523,40.775102,46
223,-73.95673399999998,40.775158,46
223,-73.95657199999998,40.775115,46
223,-73.956573,40.775165,46
223,-73.95657699999998,40.775109,46
223,-73.95690999999998,40.775163,46
223,-73.956547,40.775364,46
223,-73.956405,40.775478,46
223,-73.95649899999998,40.775548,46
223,-73.95613799999998,40.775507,46
223,-73.95614899999998,40.775603,46
