Cluster_ID,Longitude,Latitude,Number_Of_Points
162,-74.002418,40.73984,44
162,-74.00256799999998,40.73959,44
162,-74.002555,40.73987,44
162,-74.002407,40.739797,44
162,-74.002313,40.740094,44
162,-74.002662,40.739828,44
162,-74.002477,40.739873,44
162,-74.00243299999998,40.739634,44
162,-74.00234899999998,40.739827,44
162,-74.002527,40.739705,44
162,-74.002565,40.7395,44
162,-74.00238199999998,40.739518,44
162,-74.00260299999998,40.739537,44
162,-74.002768,40.739868,44
162,-74.00282699999998,40.73986,44
162,-74.00281099999998,40.739856,44
162,-74.00206199999998,40.740258,44
162,-74.002089,40.740272,44
162,-74.00231499999998,40.739377,44
162,-74.00221,40.739524,44
162,-74.002156,40.740502,44
162,-74.002025,40.740257,44
162,-74.002145,40.740467,44
162,-74.002117,40.740348,44
162,-74.002058,40.739552,44
162,-74.001911,40.740584,44
162,-74.002167,40.740644,44
162,-74.002042,40.740752,44
162,-74.002167,40.740644,44
162,-74.001745,40.740327,44
162,-74.001868,40.740724,44
162,-74.001936,40.740795,44
162,-74.00195999999998,40.74074,44
162,-74.001726,40.740843,44
162,-74.001495,40.74099,44
162,-74.00172999999998,40.741048,44
162,-74.00172,40.741037,44
162,-74.00166199999998,40.740953,44
162,-74.001587,40.740923,44
162,-74.00153799999998,40.740977,44
162,-74.00156,40.74092,44
162,-74.001492,40.741192,44
162,-74.001473,40.741093,44
162,-74.00186499999998,40.741118,44
