Cluster_ID,Longitude,Latitude,Number_Of_Points
81,-73.991085,40.73331,26
81,-73.990896,40.733345,26
81,-73.991152,40.733143,26
81,-73.991128,40.733223,26
81,-73.99115999999998,40.733265,26
81,-73.991127,40.733168,26
81,-73.99105799999998,40.73303,26
81,-73.99097999999998,40.733092,26
81,-73.99120999999998,40.733377,26
81,-73.991085,40.73331,26
81,-73.99105199999998,40.733416,26
81,-73.991085,40.73331,26
81,-73.99131199999998,40.733195,26
81,-73.99084,40.733597,26
81,-73.990896,40.733041,26
81,-73.99114,40.732845,26
81,-73.991377,40.732998,26
81,-73.99090099999998,40.733671,26
81,-73.991471,40.733218,26
81,-73.991229,40.732749,26
81,-73.991382,40.732512,26
81,-73.991223,40.732508,26
81,-73.99124299999998,40.732508,26
81,-73.991078,40.732494,26
81,-73.991355,40.732387,26
81,-73.99113,40.732317,26
