Cluster_ID,Longitude,Latitude,Number_Of_Points
368,-73.952937,40.776003,15
368,-73.95311499999998,40.775778,15
368,-73.953084,40.775935,15
368,-73.953097,40.776,15
368,-73.95292999999998,40.776247,15
368,-73.95321099999998,40.776046,15
368,-73.95320499999998,40.775722,15
368,-73.953272,40.775966,15
368,-73.953207,40.775851,15
368,-73.95330199999998,40.775758,15
368,-73.953325,40.775842,15
368,-73.952813,40.776499,15
368,-73.952781,40.776418,15
368,-73.952927,40.776549,15
368,-73.952726,40.776706,15
