Cluster_ID,Longitude,Latitude,Number_Of_Points
43,-74.01612699999998,40.710945,49
43,-74.01622999999998,40.71096,49
43,-74.01594699999998,40.711038,49
43,-74.01597099999998,40.711128,49
43,-74.01587499999998,40.71109,49
43,-74.01601999999998,40.71095,49
43,-74.016062,40.711038,49
43,-74.01613299999998,40.711023,49
43,-74.015915,40.710977,49
43,-74.01605399999998,40.711301,49
43,-74.016024,40.711311,49
43,-74.015793,40.711263,49
43,-74.016096,40.711281,49
43,-74.01608199999998,40.711284,49
43,-74.015849,40.711182,49
43,-74.01585,40.711199,49
43,-74.015747,40.710848,49
43,-74.015788,40.710985,49
43,-74.015951,40.711269,49
43,-74.016057,40.711327,49
43,-74.016124,40.711384,49
43,-74.01594,40.711362,49
43,-74.016198,40.711283,49
43,-74.015848,40.711333,49
43,-74.01580699999998,40.711347,49
43,-74.015611,40.710966,49
43,-74.015623,40.71098,49
43,-74.015623,40.710963,49
43,-74.015938,40.711478,49
43,-74.015906,40.711523,49
43,-74.01594799999998,40.711566,49
43,-74.01593599999998,40.711518,49
43,-74.016052,40.711433,49
43,-74.015547,40.711383,49
43,-74.015685,40.711462,49
43,-74.01565999999998,40.710638,49
43,-74.015617,40.71067,49
43,-74.015507,40.710947,49
43,-74.0155,40.710828,49
43,-74.015603,40.71085,49
43,-74.015625,40.710777,49
43,-74.015876,40.710665,49
43,-74.015517,40.711057,49
43,-74.01538999999998,40.710897,49
43,-74.015395,40.711347,49
43,-74.015387,40.71157,49
43,-74.016093,40.710625,49
43,-74.016158,40.710563,49
43,-74.015219,40.711143,49
