Cluster_ID,Longitude,Latitude,Number_Of_Points
112,-73.98463099999998,40.748389,74
112,-73.98489399999998,40.748505,74
112,-73.984435,40.748297,74
112,-73.984728,40.748193,74
112,-73.984572,40.748194,74
112,-73.984515,40.748125,74
112,-73.98439899999998,40.748314,74
112,-73.984443,40.748293,74
112,-73.984577,40.748432,74
112,-73.984712,40.748118,74
112,-73.98426,40.748198,74
112,-73.98419,40.748268,74
112,-73.984278,40.748088,74
112,-73.98430999999998,40.748392,74
112,-73.98430399999998,40.748488,74
112,-73.984272,40.74807,74
112,-73.98493499999998,40.748182,74
112,-73.984852,40.747983,74
112,-73.98492,40.748166,74
112,-73.98456899999998,40.747913,74
112,-73.984938,40.747958,74
112,-73.98479,40.747848,74
112,-73.984707,40.747832,74
112,-73.984205,40.748624,74
112,-73.984127,40.748662,74
112,-73.985017,40.747897,74
112,-73.98483199999998,40.747788,74
112,-73.984744,40.747747,74
112,-73.984865,40.747768,74
112,-73.98441099999998,40.747739,74
112,-73.984588,40.747777,74
112,-73.98467499999998,40.747733,74
112,-73.984965,40.747617,74
112,-73.984892,40.747593,74
112,-73.984892,40.747593,74
112,-73.984848,40.74761,74
112,-73.984898,40.747555,74
112,-73.984615,40.747515,74
112,-73.98521499999998,40.747573,74
112,-73.98524899999998,40.747551,74
112,-73.98496799999998,40.747318,74
112,-73.98491199999998,40.747267,74
112,-73.98531599999998,40.747752,74
112,-73.985349,40.747478,74
112,-73.98534999999998,40.747567,74
112,-73.985083,40.747302,74
112,-73.98513199999998,40.747271,74
112,-73.98500699999998,40.747045,74
112,-73.984907,40.747207,74
112,-73.98546299999998,40.747913,74
112,-73.985366,40.747266,74
112,-73.98543499999998,40.747208,74
112,-73.98534999999998,40.747172,74
112,-73.985088,40.747015,74
112,-73.985377,40.747113,74
112,-73.985545,40.74703,74
112,-73.98552999999998,40.747019,74
112,-73.985437,40.747094,74
112,-73.98549,40.747007,74
112,-73.98557099999998,40.747121,74
112,-73.985448,40.747168,74
112,-73.985432,40.746902,74
112,-73.985293,40.746915,74
112,-73.985775,40.74709,74
112,-73.98563699999998,40.746952,74
112,-73.98579499999998,40.747087,74
112,-73.985377,40.746755,74
112,-73.985805,40.746705,74
112,-73.985467,40.746562,74
112,-73.98574,40.746423,74
112,-73.986024,40.746584,74
112,-73.98567199999998,40.746553,74
112,-73.985715,40.746636,74
112,-73.98577899999998,40.746308,74
