Cluster_ID,Longitude,Latitude,Number_Of_Points
14,-73.949882,40.772128,26
14,-73.949882,40.772128,26
14,-73.949881,40.772046,26
14,-73.94984499999998,40.772107,26
14,-73.949735,40.772293,26
14,-73.94987899999998,40.772137,26
14,-73.949838,40.771935,26
14,-73.949876,40.772037,26
14,-73.950125,40.772103,26
14,-73.949731,40.772242,26
14,-73.949758,40.772266,26
14,-73.94995799999998,40.772033,26
14,-73.949813,40.772411,26
14,-73.95004299999998,40.772007,26
14,-73.949692,40.772213,26
14,-73.949758,40.772182,26
14,-73.94989099999998,40.77236,26
14,-73.949583,40.772272,26
14,-73.950083,40.771798,26
14,-73.94973299999998,40.772689,26
14,-73.94945099999998,40.772078,26
14,-73.94942299999998,40.772505,26
14,-73.94947399999998,40.772796,26
14,-73.949374,40.772661,26
14,-73.949562,40.772677,26
14,-73.949618,40.773043,26
