Cluster_ID,Longitude,Latitude,Number_Of_Points
154,-73.991867,40.731285,44
154,-73.991867,40.731285,44
154,-73.991752,40.73129,44
154,-73.99196899999998,40.731035,44
154,-73.99183999999998,40.731107,44
154,-73.992135,40.731263,44
154,-73.99203,40.731313,44
154,-73.991648,40.731392,44
154,-73.99192499999998,40.731219,44
154,-73.992059,40.730985,44
154,-73.991782,40.7309,44
154,-73.99214999999998,40.730803,44
154,-73.992293,40.73122,44
154,-73.992216,40.730813,44
154,-73.992383,40.730622,44
154,-73.992316,40.730668,44
154,-73.99257,40.730649,44
154,-73.992472,40.730448,44
154,-73.992259,40.730465,44
154,-73.99257799999998,40.730629,44
154,-73.99221799999998,40.730398,44
154,-73.992633,40.730222,44
154,-73.99230699999998,40.730198,44
154,-73.992042,40.730398,44
154,-73.99288199999998,40.730327,44
154,-73.992644,40.730089,44
154,-73.992665,40.730013,44
154,-73.992717,40.730057,44
154,-73.992711,40.729996,44
154,-73.992883,40.730063,44
154,-73.99272,40.730045,44
154,-73.992845,40.730212,44
154,-73.992846,40.730013,44
154,-73.992322,40.73011,44
154,-73.992452,40.729958,44
154,-73.993021,40.7301,44
154,-73.992925,40.73004,44
154,-73.992773,40.729922,44
154,-73.99294299999998,40.729867,44
154,-73.99311199999998,40.72975,44
154,-73.993043,40.72967,44
154,-73.993003,40.729593,44
154,-73.993373,40.729622,44
154,-73.993206,40.729464,44
