Cluster_ID,Longitude,Latitude,Number_Of_Points
57,-73.99440199999998,40.750958,239
57,-73.99440199999998,40.750958,239
57,-73.994258,40.751049,239
57,-73.994512,40.750872,239
57,-73.994118,40.751024,239
57,-73.994378,40.751085,239
57,-73.99430499999998,40.75092,239
57,-73.99423,40.75108,239
57,-73.99412499999998,40.751072,239
57,-73.99423799999998,40.751013,239
57,-73.994307,40.750978,239
57,-73.994156,40.751085,239
57,-73.994157,40.751102,239
57,-73.99419399999998,40.751151,239
57,-73.994263,40.751032,239
57,-73.99436,40.750909,239
57,-73.99420999999998,40.751043,239
57,-73.994308,40.751002,239
57,-73.994506,40.75088,239
57,-73.994414,40.750826,239
57,-73.99422699999998,40.75091,239
57,-73.994338,40.751155,239
57,-73.99419,40.751102,239
57,-73.99416999999998,40.751137,239
57,-73.99452599999998,40.750905,239
57,-73.994426,40.750773,239
57,-73.994331,40.751018,239
57,-73.994371,40.750901,239
57,-73.994276,40.751122,239
57,-73.99462699999998,40.751145,239
57,-73.99416499999998,40.751114,239
57,-73.994467,40.750925,239
57,-73.9942,40.751137,239
57,-73.994347,40.751088,239
57,-73.99419799999998,40.750824,239
57,-73.99432299999998,40.750922,239
57,-73.994307,40.751101,239
57,-73.994586,40.75099,239
57,-73.994332,40.750968,239
57,-73.994307,40.751,239
57,-73.99441,40.750997,239
57,-73.994252,40.75106,239
57,-73.994308,40.750997,239
57,-73.99449,40.750988,239
57,-73.994213,40.751136,239
57,-73.994347,40.750787,239
57,-73.99456,40.750852,239
57,-73.99454799999998,40.750998,239
57,-73.994242,40.751153,239
57,-73.99438,40.75092,239
57,-73.99410899999998,40.751061,239
57,-73.994225,40.75121,239
57,-73.99410799999998,40.751217,239
57,-73.994162,40.751189,239
57,-73.99403499999998,40.75109,239
57,-73.994163,40.751253,239
57,-73.99413699999998,40.751133,239
57,-73.99411999999998,40.751078,239
57,-73.99404699999998,40.751253,239
57,-73.994155,40.751197,239
57,-73.99411,40.751172,239
57,-73.99405,40.751057,239
57,-73.994033,40.751117,239
57,-73.994192,40.751257,239
57,-73.99401799999998,40.751175,239
57,-73.994138,40.751123,239
57,-73.99408599999998,40.751241,239
57,-73.994111,40.751216,239
57,-73.993993,40.751183,239
57,-73.99406999999998,40.751268,239
57,-73.994078,40.751248,239
57,-73.994102,40.751223,239
57,-73.994145,40.751283,239
57,-73.99411499999998,40.751258,239
57,-73.99405299999998,40.751085,239
57,-73.994074,40.751168,239
57,-73.994127,40.75118,239
57,-73.99406,40.751193,239
57,-73.99415299999998,40.751228,239
57,-73.99414,40.751208,239
57,-73.99411999999998,40.751192,239
57,-73.994065,40.751169,239
57,-73.994031,40.751214,239
57,-73.994088,40.75107,239
57,-73.994118,40.751243,239
57,-73.99404199999998,40.75106,239
57,-73.994015,40.750969,239
57,-73.99405299999998,40.751086,239
57,-73.994528,40.750645,239
57,-73.994736,40.750796,239
57,-73.994427,40.750614,239
57,-73.99459,40.750632,239
57,-73.99447999999998,40.750598,239
57,-73.994513,40.750658,239
57,-73.99471,40.750945,239
57,-73.994573,40.750632,239
57,-73.994473,40.750654,239
57,-73.99397299999998,40.751203,239
57,-73.993958,40.751187,239
57,-73.99401799999998,40.751253,239
57,-73.994048,40.751315,239
57,-73.99396,40.75126,239
57,-73.994088,40.751317,239
57,-73.994105,40.751341,239
57,-73.994039,40.75132,239
57,-73.994327,40.751402,239
57,-73.99476099999998,40.751208,239
57,-73.994775,40.751188,239
57,-73.99395,40.751446,239
57,-73.993807,40.751418,239
57,-73.99385499999998,40.751415,239
57,-73.99458799999998,40.750427,239
57,-73.994793,40.75051,239
57,-73.994645,40.75042,239
57,-73.99469499999998,40.750503,239
57,-73.994513,40.750391,239
57,-73.99485199999998,40.750669,239
57,-73.994927,40.750602,239
57,-73.99473299999998,40.750384,239
57,-73.99467,40.750349,239
57,-73.994686,40.750359,239
57,-73.994648,40.75034,239
57,-73.993727,40.751481,239
57,-73.993683,40.751455,239
57,-73.99370299999998,40.751673,239
