Cluster_ID,Longitude,Latitude,Number_Of_Points
307,-74.006645,40.751207,27
307,-74.006645,40.751207,27
307,-74.006557,40.751152,27
307,-74.00668,40.75113,27
307,-74.006432,40.751284,27
307,-74.00658799999998,40.751136,27
307,-74.00671699999998,40.75127,27
307,-74.006443,40.751171,27
307,-74.00660999999998,40.751241,27
307,-74.006872,40.75133,27
307,-74.006827,40.751297,27
307,-74.006765,40.751283,27
307,-74.00664899999998,40.751276,27
307,-74.00644699999998,40.751235,27
307,-74.006747,40.751452,27
307,-74.006752,40.751285,27
307,-74.00649799999998,40.751313,27
307,-74.006523,40.751417,27
307,-74.006685,40.751243,27
307,-74.006557,40.751441,27
307,-74.006693,40.751377,27
307,-74.006765,40.751351,27
307,-74.006235,40.751218,27
307,-74.006282,40.751422,27
307,-74.00633999999998,40.750922,27
307,-74.006128,40.751652,27
307,-74.00621099999998,40.751588,27
